timestamp,active_connections,reconnect_rate
1781207239,0,0
1781207244,0,0
1781207249,0,0
1781207254,0,0
1781207259,0,0
1781207264,0,0
1781207269,45,49.559999999999995
1781207274,108,147.87420000000003
1781207279,108,183.98220000000003
1781207284,162,230.02139999999997
1781207289,240,264
1781207294,240,264
1781207299,310,296
1781207304,367,254
1781207309,367,254
1781207314,434,248
1781207319,504,274
1781207324,526,274
1781207329,575,238
1781207334,612,172
1781207339,648,239.9984
1781207344,725,168
1781207349,760,168
1781207354,780,136
1781207359,799,78
1781207364,800,80
1781207369,800,40
1781207374,800,2
1781207379,800,0
1781207384,800,0
1781207389,800,0
1781207394,800,0
1781207399,800,0
1781207404,800,0
1781207410,800,0
1781207415,800,0
1781207420,800,0
1781207425,800,0
1781207430,800,0
1781207435,800,0
1781207440,800,0
1781207445,800,0
1781207450,800,0
1781207455,800,0
1781207460,800,0
1781207465,800,0
1781207470,800,0
1781207475,800,0
1781207480,800,0
1781207485,800,0
1781207490,767,0
1781207495,731,0
1781207500,731,0
1781207505,653,0
1781207510,653,0
