timestamp,active_connections,reconnect_rate
1781205416,0.0,0.0
1781205421,0.0,0.0
1781205426,0.0,0.0
1781205431,0.0,0.0
1781205436,5.0,5.360333333333333
1781205441,33.0,37.735933333333335
1781205446,33.0,48.76893333333334
1781205451,103.0,129.6942666666667
1781205456,169.0,204.2412
1781205461,169.0,249.71053333333333
1781205466,229.0,252.0
1781205471,297.0,256.0
1781205476,297.0,256.0
1781205481,366.0,274.0
1781205486,434.0,274.0
1781205491,434.0,274.0
1781205496,490.0,248.0
1781205501,543.0,218.00000000000003
1781205506,579.0,218.0
1781205512,628.0,188.0
1781205517,683.0,160.0
1781205522,715.0,224.0
1781205527,760.0,218.07026666666667
1781205532,793.0,213.7599333333333
1781205537,800.0,170.0
1781205542,800.0,80.0
1781205547,800.0,14.0
1781205552,800.0,0.0
1781205557,800.0,0.0
1781205562,800.0,0.0
1781205567,800.0,0.0
1781205572,800.0,0.0
1781205577,800.0,0.0
1781205582,800.0,0.0
1781205587,800.0,0.0
1781205592,800.0,0.0
1781205597,800.0,0.0
1781205602,800.0,0.0
1781205607,800.0,0.0
1781205612,800.0,0.0
1781205617,800.0,0.0
1781205622,800.0,0.0
1781205627,800.0,0.0
1781205632,800.0,0.0
1781205637,800.0,0.0
1781205642,800.0,0.0
1781205647,800.0,0.0
1781205652,800.0,0.0
1781205657,800.0,0.0
