timestamp,active_connections,reconnect_rate
1781210162,0.0,0.0
1781210167,0.0,0.0
1781210172,0.0,0.0
1781210177,0.0,0.0
1781210182,4.0,4.1504
1781210187,4.0,5.487733333333334
1781210192,45.0,54.724
1781210197,116.0,139.48173333333335
1781210202,116.0,176.9270666666667
1781210207,195.0,258.928
1781210212,250.0,268.0
1781210217,250.0,268.0
1781210222,320.0,250.0
1781210227,387.0,274.0
1781210232,387.0,274.0
1781210237,448.0,256.0
1781210242,515.0,256.0
1781210247,541.0,256.0
1781210252,596.0,244.0
1781210257,647.0,178.0
1781210262,685.0,242.35466666666667
1781210267,727.0,228.0
1781210272,763.0,232.0
1781210277,780.0,190.0
1781210282,795.0,126.0
1781210287,800.0,54.0
1781210292,800.0,20.0
1781210297,800.0,0.0
1781210302,800.0,0.0
1781210307,800.0,0.0
1781210312,800.0,0.0
1781210317,800.0,0.0
1781210322,800.0,0.0
1781210327,800.0,0.0
1781210332,800.0,0.0
1781210337,800.0,0.0
1781210343,800.0,0.0
1781210348,800.0,0.0
1781210353,800.0,0.0
1781210358,800.0,0.0
1781210363,800.0,0.0
1781210368,800.0,0.0
1781210373,800.0,0.0
1781210378,800.0,0.0
1781210383,800.0,0.0
1781210388,800.0,0.0
1781210393,800.0,0.0
1781210398,800.0,0.0
1781210403,800.0,0.0
1781210408,800.0,0.0
1781210413,800.0,0.0
1781210418,800.0,0.0
1781210423,800.0,0.0
1781210428,800.0,0.0
1781210433,800.0,0.0
1781210438,800.0,0.0
1781210443,800.0,0.0
1781210448,800.0,0.0
1781210453,800.0,0.0
1781210458,800.0,0.0
1781210463,800.0,0.0
1781210468,800.0,0.0
1781210473,800.0,0.0
1781210478,795.0,0.0
1781210483,795.0,0.0
1781210488,795.0,0.0
1781210493,709.0,0.0
