timestamp,active_connections,reconnect_rate
1781203387,0.0,0.0
1781203392,0.0,0.0
1781203397,0.0,0.0
1781203402,0.0,0.0
1781203407,7.0,8.465799999999998
1781203412,38.0,45.356
1781203417,38.0,58.070800000000006
1781203422,105.0,143.56706666666668
1781203427,166.0,209.89533333333333
1781203432,166.0,252.73266666666663
1781203437,228.0,246.0
1781203442,310.0,288.0
1781203447,310.0,288.0
1781203452,380.0,304.0
1781203457,437.0,254.0
1781203462,437.0,254.0
1781203467,523.0,234.0
1781203472,575.0,224.00000000000003
1781203477,575.0,224.0
1781203482,645.0,236.5009333333333
1781203487,706.0,196.0
1781203492,706.0,196.0
1781203497,759.0,150.0
1781203502,800.0,156.0
1781203507,800.0,156.0
1781203512,800.0,62.0
1781203517,800.0,0.0
1781203522,800.0,0.0
1781203527,800.0,0.0
1781203532,800.0,0.0
1781203538,800.0,0.0
1781203543,800.0,0.0
1781203548,800.0,0.0
1781203553,800.0,0.0
1781203558,800.0,0.0
1781203563,800.0,0.0
1781203568,800.0,0.0
1781203573,800.0,0.0
1781203578,800.0,0.0
1781203583,800.0,0.0
1781203588,800.0,0.0
1781203593,800.0,0.0
1781203598,800.0,0.0
1781203603,800.0,0.0
1781203608,800.0,0.0
1781203613,800.0,0.0
1781203618,800.0,0.0
1781203623,800.0,0.0
1781203628,800.0,0.0
1781203633,800.0,0.0
1781203638,800.0,0.0
1781203643,800.0,0.0
1781203648,790.0,0.0
1781203653,741.0,0.0
1781203658,741.0,0.0
1781203663,735.0,0.0
1781203668,735.0,0.0
1781203673,735.0,0.0
1781203678,735.0,0.0
1781203683,735.0,0.0
1781203688,735.0,0.0
1781203693,735.0,0.0
1781203698,735.0,0.0
1781203703,735.0,0.0
1781203708,735.0,0.0
1781203713,656.0,0.0
1781203718,656.0,0.0
